"video_id","local_path","bytes","gcs_uri","error","candidate_video_id","candidate_channel","candidate_channel_id","manifest"
"5YeLGZe-Ku4","gcs_upload_staging\archive_thumbnails\5YeLGZe-Ku4.jpg","134513","gs://senior-share-staging-570862915709/naresome_thumbnails/5YeLGZe-Ku4.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"61RBl9kzHhM","gcs_upload_staging\archive_thumbnails\61RBl9kzHhM.jpg","110306","gs://senior-share-staging-570862915709/naresome_thumbnails/61RBl9kzHhM.jpg","","PNcUR8w_gM8","2ch出会いクエスト","UCaiqfVJVsld5toM71fiU2NA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"6DN4G-b3Prw","gcs_upload_staging\archive_thumbnails\6DN4G-b3Prw.jpg","117742","gs://senior-share-staging-570862915709/naresome_thumbnails/6DN4G-b3Prw.jpg","","r36aQjU53IM","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"6HZc7lwgEU0","gcs_upload_staging\archive_thumbnails\6HZc7lwgEU0.jpg","121482","gs://senior-share-staging-570862915709/naresome_thumbnails/6HZc7lwgEU0.jpg","","v2lHC4K81dc","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"6QGhJu3TDRM","gcs_upload_staging\archive_thumbnails\6QGhJu3TDRM.jpg","113437","gs://senior-share-staging-570862915709/naresome_thumbnails/6QGhJu3TDRM.jpg","","wzmzZbsLvvY","2ch出会いクエスト","UCaiqfVJVsld5toM71fiU2NA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"6rAlF1e13hc","gcs_upload_staging\archive_thumbnails\6rAlF1e13hc.jpg","105607","gs://senior-share-staging-570862915709/naresome_thumbnails/6rAlF1e13hc.jpg","","tPqGFu_Od3w","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"6ZwICGq9n2o","gcs_upload_staging\archive_thumbnails\6ZwICGq9n2o.jpg","111175","gs://senior-share-staging-570862915709/naresome_thumbnails/6ZwICGq9n2o.jpg","","GHTBTHwUppQ","2ch出会いクエスト","UCaiqfVJVsld5toM71fiU2NA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"738RglOCq7o","gcs_upload_staging\archive_thumbnails\738RglOCq7o.jpg","120771","gs://senior-share-staging-570862915709/naresome_thumbnails/738RglOCq7o.jpg","",,,,"C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\hokkori_best_thumbnails_master\hokkori_best_thumbnail_master.csv"
"7EHX79nUhyg","gcs_upload_staging\archive_thumbnails\7EHX79nUhyg.jpg","124334","gs://senior-share-staging-570862915709/naresome_thumbnails/7EHX79nUhyg.jpg","","UdZDhNR7bns","2ch運命の出会いストーリー","UC8Z30-vQUd48GbLmT6Y_G6Q","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"7GBBUxgYN94","gcs_upload_staging\archive_thumbnails\7GBBUxgYN94.jpg","113173","gs://senior-share-staging-570862915709/naresome_thumbnails/7GBBUxgYN94.jpg","","A2WNRN4ird4","2ch出会いクエスト","UCaiqfVJVsld5toM71fiU2NA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"7gfpBDD0aYo","gcs_upload_staging\archive_thumbnails\7gfpBDD0aYo.jpg","118741","gs://senior-share-staging-570862915709/naresome_thumbnails/7gfpBDD0aYo.jpg","","2L5GT3iZQ34","馴れ初めクエスト2ch","UCBTeXU9Auch51-79o2C-QyA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"7VVPwkHq0ZY","gcs_upload_staging\archive_thumbnails\7VVPwkHq0ZY.jpg","114851","gs://senior-share-staging-570862915709/naresome_thumbnails/7VVPwkHq0ZY.jpg","","5baEh_9jv5g","wail22 alfadil","UCOPTB7tQ61unkta781Hk9FA","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
"80bRNahWpKc","gcs_upload_staging\archive_thumbnails\80bRNahWpKc.jpg","116456","gs://senior-share-staging-570862915709/naresome_thumbnails/80bRNahWpKc.jpg","","mU_59OEcumo","2ch馴れ初め物語","UCEnh7Zjp2lHtHA6ATOOcpbQ","C:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\copy_channel_research_20260623\best_thumbnails_quest\best_thumbnail_selection.csv"
