video_id,channel,title,view_count,published_at,asset_count,best_type,best_local_path,best_bytes,local_csv_asset
tfj6GYoR2Z8,2ch馴れ初め感動シネマ,【2ch馴れ初め】深夜のファミレスで一皿のスープを分け合う少女と赤ちゃん→店長の俺がお子様ランチと離乳食を振舞った結果,24784,2025-04-10T10:07:26Z,0,,,0,
GZ1A-VNWhfg,2ch馴れ初め奇跡の出会い,【2ch馴れ初め】オーナーに嫌われ廃業寸前の田舎の料亭に飛ばされた俺 →1ヶ月後、予約が2年先まで埋まった結果…【ゆっくり】,24760,2025-04-27T10:02:18Z,0,,,0,
9-CzAbGrKno,2ch馴れ初め感動シネマ,【2ch馴れ初め】銀行から突然融資を打ち切られ途方に暮れる激安食堂の母娘→常連客でキモオタ資産家の俺が助けた.....,24756,2025-01-23T09:00:10Z,0,,,0,
xO_1lNa360I,2ch馴れ初めキューピッド,【2ch馴れ初め】うちの旅館に訪ねてきた5人兄弟を育てるシングルマザー→俺のお袋が勝手に雇ってしまった結果…【ゆっくり】,24754,2024-11-13T12:01:24Z,0,,,0,
TtWWN-wX8FI,2ch馴れ初め感動シネマ,【2ch馴れ初め】会社の飲み会帰りにヤクザと肩が触れ脅される俺→社内一のマドンナが腹を抱えて笑い出した結果...【2ch】【馴れ初め】【総集編】,24753,2025-10-12T08:00:36Z,5,srt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\yakuza_script_archive_20260606\UCaltBBIFhAqt8_ECttdKgsw\raw\2025-10-12_TtWWN-wX8FI_【2ch馴れ初め】会社の飲み会帰りにヤクザと肩が触れ脅される俺→.ja-orig.srt,553064,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\TtWWN-wX8FI.csv
G0VCQECXMNw,俺たちの馴れ初め,【2ch馴れ初め】　海外に旅立った幼馴染を見送った俺→帰宅すると家の前に立っていた結果...　【ゆっくり】,24749,2024-11-23T04:00:20Z,0,,,0,
Y-3d6Mhwh3A,2ch馴れ初めラブレター,【2ch馴れ初め】陰キャの俺が定期入れに挟んでたヤンキー美女の写真→覚悟を決めて写真を見せた結果...【ゆっくり】,24744,2024-02-29T09:00:31Z,0,,,0,
0ehDmtwatCU,2ch馴れ初めヒストリー,【2ch馴れ初め】レストランでの演奏時に突然倒れた美人ピアニスト →盲目の娘が代役で神演奏した結果...【ゆっくり】,24742,2024-12-25T10:30:00Z,0,,,0,
F6XZ0hgXWgU,2ch馴れ初めヒストリー,【2ch馴れ初め】社員旅行当日に上司に見下され自腹を強要された俺 →言われた通り自腹でファーストクラスで行った結果...【ゆっくり】,24735,2025-06-29T10:30:16Z,0,,,0,
RJSz0UmgoBw,ほろり感動馴れ初め話,【2ch馴れ初め】出前で配達した部屋からネグレクトを受けている双子が→危険を感じ病院に連れてった結果【ゆっくり解説】,24729,2025-09-06T10:00:44Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCmEJtwgg3U7dM2cuB6UI4OQ\subtitles\RJSz0UmgoBw.ja-orig.vtt,145899,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\RJSz0UmgoBw.csv
kKAx_YRD7ak,2ch 馴れ初め ストーリーズ,【2ch馴れ初め】失踪した妻に托卵されていた俺→迷った末…愛娘の双子姉妹を自分の娘として育てた結果【ゆっくり】,24726,2025-04-13T08:00:48Z,0,,,0,
l_JUuBS4O2w,2ch馴れ初め感動シネマ,【2ch馴れ初め】結婚式の為に婚約者と式場を下見した俺→見積書を渡され衝撃の事実が…,24717,2025-07-03T10:01:21Z,0,,,0,
fC4ELsFcUbQ,俺たちの馴れ初め,【2ch馴れ初め】田舎のバス停でびしょ濡れの母娘→タオルとほっとレモネードを渡した結果…【ゆっくり】,24690,2024-01-30T04:00:16Z,0,,,0,
pFEhmPuR5i8,2ch馴れ初めで愛を語る,【2ch馴れ初め】10年前に失踪した娘そっくりのホームレス女性 → 娘が大好きだった回転寿司に誘った結果,24665,2024-08-28T14:00:55Z,0,,,0,
4PwhG_lxKAE,2ch馴れ初めツインズ,【2ch馴れ初め】まさかの人物に電話をしてしまった結果【ゆっくり】,24657,2025-06-08T10:00:13Z,0,,,0,
clKHvaVmy50,ほろり感動馴れ初め話,【2ch馴れ初め】バイト中ぶつかってきた赤ん坊を抱いた少女→元ヤクザの俺がSOSに気が付いた結果【ゆっくり解説】,24614,2025-09-22T11:01:16Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCmEJtwgg3U7dM2cuB6UI4OQ\subtitles\clKHvaVmy50.ja-orig.vtt,171870,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\clKHvaVmy50.csv
2p1WNuKMRvc,2ch馴れ初めで愛を語る,【2ch馴れ初め 総集編】 大人気馴れ初め動画6選まとめ　2ch馴れ初めで愛を語る　3月総集編【作業用】【ゆっくり】,24601,2024-03-30T04:00:02Z,0,,,0,
YMXkGj90yUY,2ch馴れ初めツインズ,【2ch馴れ初め】大晦日に大混雑の蕎麦屋を訪れた婆さん→1人じゃ回らないので手伝ってもらった結果…【ゆっくり】,24584,2025-12-31T10:00:56Z,0,,,0,
fSZnC9a5Uq0,2ch馴れ初めラブレター,【2ch馴れ初め】毎日10円のパンの耳を買いに来るボロボロ姉妹 →突然来なくなったので心配で探した結果 ...【ゆっくり】,24577,2025-06-16T10:01:08Z,0,,,0,
q5_jqCsI3-g,2ch馴れ初めツインズ,【2ch馴れ初め】公園にいた女性に勉強を教えたら人生がガラッと激変した結果…【ゆっくり】,24576,2025-12-28T10:01:24Z,0,,,0,
4CN9HTk61RE,2chの感動馴初め話,【2ch馴れ初め】店長の俺がパート女性に休日出勤を頼んだ→3歳の娘が突入してきた結果【ゆっくり解説】,24560,2025-08-12T10:00:07Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCsH9V11uQ-wkMJNleyksCtw\subtitles\4CN9HTk61RE.ja-orig.vtt,130532,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\4CN9HTk61RE.csv
5SGO_-pS_NM,2ch馴れ初めツインズ,【2ch馴れ初め】目の病気で重要な会議中のサングラスをかけている新人女性→本社から視察に来ていた俺がそれを目撃し…【ゆっくり】,24530,2025-01-30T10:00:10Z,0,,,0,
8T0OnpiL4Zo,2ch馴れ初めヒストリー,【2ch馴れ初め】極寒の外で一人仕事をする美人社員 →５年ぶりに本社復帰した俺がブチギレた結果…【ゆっくり】,24494,2025-03-16T10:30:08Z,0,,,0,
Kxj_ZAamYBI,2chの感動馴初め話,【2ch馴れ初め】親戚からネグレクトを受ける夜を彷徨うボロボロの三姉妹→妻と娘を亡くした俺が警察を呼んだ結果【ゆっくり解説】,24475,2025-10-25T10:00:37Z,3,vtt,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\保全\competitor_backup\UCsH9V11uQ-wkMJNleyksCtw\subtitles\Kxj_ZAamYBI.ja-orig.vtt,179245,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\script_csv_assets\Kxj_ZAamYBI.csv
_47xDH7lous,2ch馴れ初めヒストリー,【2ch馴れ初め】大雪の日に免許証を届けてくれた半袖のボロボロ双子 →異変を感じたので家まで送った結果...【ゆっくり】,24464,2024-07-29T10:00:29Z,0,,,0,
qAg0dnhOtIQ,2ch馴れ初めツインズ,【2ch馴れ初め】忘年会で一人だけ白米を出される美人女性→気付いた俺がある人に電話した結果…【ゆっくり】,24459,2024-12-06T10:01:00Z,0,,,0,
34bADqfOjIs,2ch 馴れ初め ストーリーズ,【2ch馴れ初め】4歳と1歳の幼い姉妹を助け大事な商談に遅刻した俺→商談中、助けた姉妹が膝にダイブしてきた結果【ゆっくり】,24441,2025-03-06T08:00:02Z,0,,,0,
