video_id,local_path,bytes,gcs_uri,error
-V3SuDidiMU,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-V3SuDidiMU.jpg,291402,gs://senior-share-staging-570862915709/naresome_thumbnails/-V3SuDidiMU.jpg,
-W22xTLn6w4,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-W22xTLn6w4.jpg,257290,gs://senior-share-staging-570862915709/naresome_thumbnails/-W22xTLn6w4.jpg,
-WcJUMqTP3M,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-WcJUMqTP3M.jpg,246985,gs://senior-share-staging-570862915709/naresome_thumbnails/-WcJUMqTP3M.jpg,
-YKNsm892wI,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-YKNsm892wI.jpg,268517,gs://senior-share-staging-570862915709/naresome_thumbnails/-YKNsm892wI.jpg,
-YL5RRAB9lA,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-YL5RRAB9lA.jpg,204775,gs://senior-share-staging-570862915709/naresome_thumbnails/-YL5RRAB9lA.jpg,
-_xWL4tT9Cc,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-_xWL4tT9Cc.jpg,252938,gs://senior-share-staging-570862915709/naresome_thumbnails/-_xWL4tT9Cc.jpg,
-aLEv8lOIfY,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-aLEv8lOIfY.jpg,280112,gs://senior-share-staging-570862915709/naresome_thumbnails/-aLEv8lOIfY.jpg,
-bNYw2UbOn4,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-bNYw2UbOn4.jpg,218353,gs://senior-share-staging-570862915709/naresome_thumbnails/-bNYw2UbOn4.jpg,
-c0q6TZIUrk,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-c0q6TZIUrk.jpg,279987,gs://senior-share-staging-570862915709/naresome_thumbnails/-c0q6TZIUrk.jpg,
-clAVD6FIis,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-clAVD6FIis.jpg,280107,gs://senior-share-staging-570862915709/naresome_thumbnails/-clAVD6FIis.jpg,
-fRSI5e6Sdo,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-fRSI5e6Sdo.jpg,263818,gs://senior-share-staging-570862915709/naresome_thumbnails/-fRSI5e6Sdo.jpg,
-fuSDJFir1E,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-fuSDJFir1E.jpg,350251,gs://senior-share-staging-570862915709/naresome_thumbnails/-fuSDJFir1E.jpg,
-g9Nkz40lVQ,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-g9Nkz40lVQ.jpg,339150,gs://senior-share-staging-570862915709/naresome_thumbnails/-g9Nkz40lVQ.jpg,
-gPPxbqpSXU,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-gPPxbqpSXU.jpg,249945,gs://senior-share-staging-570862915709/naresome_thumbnails/-gPPxbqpSXU.jpg,
-hQ5GgKOlqQ,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-hQ5GgKOlqQ.jpg,339189,gs://senior-share-staging-570862915709/naresome_thumbnails/-hQ5GgKOlqQ.jpg,
-hg19wJ7eoY,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-hg19wJ7eoY.jpg,235457,gs://senior-share-staging-570862915709/naresome_thumbnails/-hg19wJ7eoY.jpg,
-hy58VIFcy8,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-hy58VIFcy8.jpg,261837,gs://senior-share-staging-570862915709/naresome_thumbnails/-hy58VIFcy8.jpg,
-i5Y3uC_qKA,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-i5Y3uC_qKA.jpg,266342,gs://senior-share-staging-570862915709/naresome_thumbnails/-i5Y3uC_qKA.jpg,
-il_-Muhud4,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-il_-Muhud4.jpg,327576,gs://senior-share-staging-570862915709/naresome_thumbnails/-il_-Muhud4.jpg,
-ivq4kS93bM,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-ivq4kS93bM.jpg,251252,gs://senior-share-staging-570862915709/naresome_thumbnails/-ivq4kS93bM.jpg,
-jGtT3lYMnI,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-jGtT3lYMnI.jpg,232519,gs://senior-share-staging-570862915709/naresome_thumbnails/-jGtT3lYMnI.jpg,
-jI-R25mlpg,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-jI-R25mlpg.jpg,264034,gs://senior-share-staging-570862915709/naresome_thumbnails/-jI-R25mlpg.jpg,
-je8LZaoroE,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-je8LZaoroE.jpg,234736,gs://senior-share-staging-570862915709/naresome_thumbnails/-je8LZaoroE.jpg,
-kEiQpYXgZU,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-kEiQpYXgZU.jpg,261953,gs://senior-share-staging-570862915709/naresome_thumbnails/-kEiQpYXgZU.jpg,
-kJGxyO3BnU,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-kJGxyO3BnU.jpg,327074,gs://senior-share-staging-570862915709/naresome_thumbnails/-kJGxyO3BnU.jpg,
-kwmQA1-xZ4,E:\Data\ObsidianVault\02_Channels\馴れ初めシネマ\競合チャンネル分析\企画リサーチ_20260605\gcs_upload_staging\naresome_thumbnails\-kwmQA1-xZ4.jpg,240362,gs://senior-share-staging-570862915709/naresome_thumbnails/-kwmQA1-xZ4.jpg,
